"Author..Citation.","Sample.ID","Total.Length..cm.","Total.Weight..g.","Sex.Ratio","Maturity","Age..Years.","d13C","d15N","Waterbody","Region","Location","Latitude","Longitude","Latitude.2","Longitude.2","Class","Species","Tissue","n_samples","n_indiv","Collection.Date","Sampling.Year","PFBS","PFHxS","PFOS","PFDS","PFEtCHxS","FBSA","PFOSA","NMeFOSA","NEtFOSA","PFBA","PFPeA","PFHxA","PFHpA","PFOA","PFNA","PFDA","PFUnA","PFDoA","PFTrDA","PFTeDA","PFHxDA","PFODA","PFPeDA","X8.2.FTUCA","X10.2.FTUCA","X6.6.PFPIA","X6.8.PFPIA","X6.2.diPAP","X8.2.diPAP","PFHpS","Gen.X","PFPrS","PFPeS","PFNS","Cl.PFOS","X4.2.FTSA","X6.2.FTSA","X8.2.FTSA","X6.2.FTCA","X8.2.FTCA","X10.2.FTCA","X6.2.FTOH","X8.2.FTOH","X10.2.FTOH","NMeFOSE","NEtFOSE","X8.2.Cl.PFESA","ADONA","X6.2.Cl.PFESA","NEtFOSAA","NMeFOSAA","PFDoS","X8.8.PFPIA","X6.10.PFPIA","X8.10.PFPIA","X6.12.PFPIA","X3.3.FTCA","X5.3.FTCA","X7.3.FTCA","FHUEA","FOUEA","FDUEA","FHxSA","NMeFBSA","FOSAA","X10.2.FTSA","PFHxPA","PFOPA","PFHxSAm","PFOSAm","PFHxSAmS","PFOSAmS","PFOANO","PFOSNO","PFOAB","PFOSB","X5.3.FTB","X5.1.2.FTB","X6.2.FTAB"
"#58 De Solla et al (2012)","#58DESOLLA 17",NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",NA,"Station 12, 13, 14 and 15",43.15736172,-79.85929031,NA,NA,"Shrimp, water fleas, and allies","Amphipods","Bulk composite",9,NA,"10/15/10",2010,NA,"0.2","19.1","0.1","0.3",NA,"0.4",NA,NA,NA,"<0.25","0.1","1.6","9","7","4","1.3","0.5","0.3","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#58 De Solla et al (2012)","#58DESOLLA 18",NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",NA,"Station 16",43.09202372,-79.82852054,NA,NA,"Shrimp, water fleas, and allies","Amphipods","Bulk composite",2,NA,"10/15/10",2010,NA,"0.3","65.7","0.3","0.05",NA,"1",NA,NA,NA,"0.1","0.2","2.3","47.8","15.6","7.8","1.4","0.7","0.1","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#58 De Solla et al (2012)","#58DESOLLA 19",NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",NA,"Station 17",43.07701446,-79.82574934,NA,NA,"Shrimp, water fleas, and allies","Amphipods","Bulk composite",1,NA,"10/15/10",2010,NA,"0.3","169.7","<0.25","0.08",NA,"2.9",NA,NA,NA,"0.1","0.3","0.9","27.6","7.5","6.8","1.4","0.9","0.8","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#58 De Solla et al (2012)","#58DESOLLA 20",NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",NA,"Station 5",43.11133637,-79.88188546,NA,NA,"Shrimp, water fleas, and allies","Amphipods","Bulk composite",2,NA,"10/15/10",2010,NA,"9.92","721.35","<0.25","8.19",NA,"1.52",NA,NA,NA,"7.42","2.22","10.35","42.33","65.51","12.31","3.77","0.21","0.18","0.23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#58 De Solla et al (2012)","#58DESOLLA 21",NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",NA,"Station 5",43.11133637,-79.88188546,NA,NA,"Insecta","Damselfly","Bulk composite",2,NA,"10/15/10",2010,NA,"1.65","170.32","<0.25","0.47",NA,"0.64",NA,NA,NA,"<0.25","<0.25","0.33","2.63","5.08","1.31","0.35","<0.25","<0.25","<0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#58 De Solla et al (2012)","#58DESOLLA 22",NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",NA,"Station 5",43.11133637,-79.88188546,NA,NA,"Shrimp, water fleas, and allies","Caridea shrimp","Bulk composite",3,8,"10/15/10",2010,NA,"2.58","157.46","<0.25","ND",NA,"2.53",NA,NA,NA,"<0.25","<0.25","0.3","2","3.89","1.18","0.5","<0.25","<0.25","<0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#58 De Solla et al (2012)","#58DESOLLA 23",NA,NA,NA,NA,NA,NA,NA,"Lake Ontario",NA,"Station 3",43.11706572,-79.89978358,NA,NA,"Shrimp, water fleas, and allies","Caridea shrimp","Bulk composite",3,8,"10/15/10",2010,NA,"1.06","75.51","<0.25",NA,NA,"4.75",NA,NA,NA,"<0.25","<0.25","<0.25","1.11","0.78","0.39","0.07","<0.25","<0.25","<0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#58 De Solla et al (2012)","#58DESOLLA 24",NA,NA,NA,"Juvenile",NA,NA,NA,"Lake Ontario",NA,"Station 5",43.11133637,-79.88188546,NA,NA,"Pisces","Sunfish","Composite whole fish homogenate",1,2,"10/15/10",2010,NA,"1.16","507.93","<0.25","6.1",NA,"1.44",NA,NA,NA,"<0.25","<0.25","0.71","1.29","3.76","4.85","1.33","<0.25","<0.25","<0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#58 De Solla et al (2012)","#58DESOLLA 25",NA,NA,NA,"Juvenile",NA,NA,NA,"Lake Ontario",NA,"Station 5",43.11133637,-79.88188546,NA,NA,"Pisces","Bullhead","Composite whole fish homogenate",1,1,"10/15/10",2010,NA,"3.09","350.83","<0.25","ND",NA,"1.27",NA,NA,NA,"<0.25","<0.25","0.72","3.03","10.82","11.64","5.26","1.55","<0.25","<0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-1",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","1.29","270","3.89",NA,NA,"<0.29",NA,NA,NA,NA,NA,"ND","<1.14","2.58","7.25","26.37","7.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-10",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","ND","202","11.31",NA,NA,"<0.29",NA,NA,NA,NA,NA,"ND","<1.14","0.98","2.6","7.89","3.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-2",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","<0.29","429","21.67",NA,NA,"0.61",NA,NA,NA,NA,NA,"ND","<1.14","0.4","3.58","9.8","8.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-3",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","ND","107","17.54",NA,NA,"<0.29",NA,NA,NA,NA,NA,"ND","<1.14","0.64","5.05","8.06","5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-4",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","13.5","9827","34.64",NA,NA,"16.32",NA,NA,NA,NA,NA,"ND","<1.14","1.07","9.32","33.79","17.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-5",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","ND","104","7.9",NA,NA,"<0.29",NA,NA,NA,NA,NA,"ND","<1.14","0.51","1.46","4.15","5.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-6",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","<0.29","232","5",NA,NA,"0.4",NA,NA,NA,NA,NA,"ND","<1.14","0.85","2.86","6.09","3.44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-7",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","ND","48","0.43",NA,NA,"ND",NA,NA,NA,NA,NA,"ND","<1.14","0.47","1.21","6.67","1.46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-8",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","1.36","108","ND",NA,NA,"ND",NA,NA,NA,NA,NA,"ND","<1.14","1.06","1.54","5.86","1.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#6 Custer et al (2009)","35-9",NA,NA,NA,NA,NA,NA,NA,"Lake Michigan",NA,"Indiana Dunes Heron Colony",41.62690268,-86.96416137,NA,NA,"Aves","Great blue heron","Eggs",1,1,"4/28/93",1993,"ND","1.19","468","28.84",NA,NA,"1.01",NA,NA,NA,NA,NA,"ND","<1.14","0.51","1.82","9.05","4.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#63 Custer et al (2014)","NBLPlasma",NA,NA,NA,"Nestling",0.0328767,NA,NA,"Lake Superior",NA,"North Bass Lake",46.1906222,-89.95807222,NA,NA,"Aves","Tree swallow","Composite plasma",5,NA,NA,2008,NA,"<1.0","6.23",NA,NA,NA,"<0.50",NA,NA,NA,NA,NA,NA,"2.25","2.68","0.79","1.74","<0.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#63 Custer et al (2014)","SLPlasma",NA,NA,NA,"Nestling",0.0328767,NA,NA,"Lake Superior",NA,"Star Lake",46.0241278,-89.47021389,NA,NA,"Aves","Tree swallow","Composite plasma",5,NA,NA,2008,NA,"<1.0","20",NA,NA,NA,"<0.50",NA,NA,NA,NA,NA,NA,"21.6","15.5","2.64","5.07","0.74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#64 Route et al (Unpublished)","GLKN2011BE02",NA,NA,NA,NA,NA,NA,NA,"Lake Superior","APIS","Saxine Creek",46.88812893,-91.04288571,NA,NA,"Aves","Bald eagle","Egg albumen",1,1,NA,2011,"0.41","1.2","280","2.5",NA,NA,NA,NA,NA,"<0.12","<0.12","<0.12","2","0.13","4.4","4.8","9.2","2.8","10","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<0.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#64 Route et al (Unpublished)","GLKN2015BE01",NA,NA,NA,NA,NA,NA,NA,"Lake Superior","U-SACN","Big Island (a)",46.08035396,-92.21843734,NA,NA,"Aves","Bald eagle","Egg albumen",1,1,NA,2015,NA,"ND","80","1.9",NA,NA,NA,NA,NA,"ND","ND","ND","ND","ND","3.3","5.1","9.9","2.4","3.1","1.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 01",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Gull Is., Geo Bay",44.71108923,-80.03786359,NA,NA,"Aves","Double-crested cormorant","Whole blood",1,1,"7/18/91",1991,NA,NA,"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 02",NA,NA,NA,NA,NA,NA,NA,"Lake Superior",NA,"Hyrn Island, Lake Superior",48.00968112,-88.77082462,NA,NA,"Aves","Double-crested cormorant","Whole blood",1,1,"7/29/91",1991,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 03",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,NA,NA,"Aves","Double-crested cormorant","Whole blood",1,1,"7/25/91",1991,NA,NA,"164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 04",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,NA,NA,"Aves","Double-crested cormorant","Whole blood",1,1,"7/25/91",1991,NA,NA,"188",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 05",NA,NA,NA,NA,NA,NA,NA,"Lake Superior",NA,"Otter Island, Lake Superior",46.99561104,-90.69378044,NA,NA,"Aves","Double-crested cormorant","Whole blood",1,1,"7/29/91",1991,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 06",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Scarecrow Island, Thunder Bay",44.9118061,-83.32873354,NA,NA,"Aves","Double-crested cormorant","Whole blood",1,1,"7/4/91",1991,NA,NA,"132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 07",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"St. Martin Island",45.96158031,-84.57195332,NA,NA,"Aves","Double-crested cormorant","Whole blood",1,1,"7/13/91",1991,NA,NA,"124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 08",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"St. Martin Island",45.96158031,-84.57195332,NA,NA,"Aves","Double-crested cormorant","Whole blood",1,1,"7/13/91",1991,NA,NA,"243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 09",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,NA,NA,"Aves","Herring gull","Whole blood",1,1,"7/29/91",1991,NA,NA,"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 10",NA,NA,NA,NA,NA,NA,NA,"Lake Huron",NA,"Little Charity Is., Lake Huron",44.00261281,-83.46687658,NA,NA,"Aves","Herring gull","Whole blood",1,1,"7/29/91",1991,NA,NA,"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 11",NA,NA,NA,NA,NA,NA,NA,"Lake Superior",NA,"Huron Is., Lake Superior",46.95327909,-87.97343683,NA,NA,"Aves","Double-crested cormorant","Plasma",1,1,"7/29/91",1991,NA,NA,"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"#65 Kannan et al (2001)","#65KANNAN 12",NA,NA,NA,NA,NA,NA,NA,"Lake Superior",NA,"Huron Is., Lake Superior",46.95327909,-87.97343683,NA,NA,"Aves","Double-crested cormorant","Plasma",1,1,"7/29/91",1991,NA,NA,"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
