Author..Citation.,Sample.ID,Total.Length..cm.,Total.Weight..g.,Sex.Ratio,Maturity,Revised_Maturity,Age..Years.,d13C,d15N,Waterbody,Water_Level,Waterbody_Type,Region,Location,Latitude,Longitude,Latitude.2,Longitude.2,Class,Species,Revised_Species,Trophic_Level,Tissue,Revised_Tissue,Composite,n_samples,n_indiv,Collection.Date,Season,Sampling.Year,PFOS,PFDS,PFEtCHxS,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFPeDA
#50 Ren et al (2023),LETroutPerch20190904003,8.78,5.903,NA,NA,NA,NA,-22,14.2,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Trout-perch,Trout-perch,Secondary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,10,9/24/19,Summer,2019,11.33702292,0.644313563,NA,1.303106082,1.10764017,0.919413736,0.470566085,0.354734434,0.238902782,NA
#50 Ren et al (2023),LEWalleye20190904F001,43.2,718,0,NA,NA,3,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,15.98717499,0.306708393,NA,0.222363585,0.828112661,0.912457469,0.513736558,0.651755335,0.42939175,NA
#50 Ren et al (2023),LEWalleye20190904F002,48.4,1017,1,NA,NA,4,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,21.32154419,0.33521989,NA,0.226078531,1.075821974,0.849743443,0.366403136,0.678235592,0.33521989,NA
#50 Ren et al (2023),LEWalleye20190904F003,47.5,1013,1,NA,NA,5,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,17.62912722,0.381044214,NA,0.303280089,1.384201431,1.112026992,0.474361165,0.61433659,0.342162152,NA
#50 Ren et al (2023),LEWalleye20190904F004,49.1,1138,1,NA,NA,7,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,12.27423721,0.258725397,NA,0.167410551,0.585936928,0.882710178,0.403307236,0.540279505,0.334821102,NA
#50 Ren et al (2023),LEWalleye20190904F005,43.3,823,0,NA,NA,4,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,17.69156415,0.44288225,NA,0.19771529,0.964850615,0.972759227,0.458699473,0.5456942,0.34797891,NA
#50 Ren et al (2023),LEWalleye20190904F006,44.5,826,0,NA,NA,4,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,14.5886684,0.22340993,NA,0.148939953,0.513842838,0.588312814,0.402137873,0.446819859,0.290432908,NA
#50 Ren et al (2023),LEWalleye20190904F007,44.9,956,1,NA,NA,5,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,20.72309579,0.262872251,NA,0.508219685,0.955102512,0.963864921,0.271634659,0.587081361,0.245347434,NA
#50 Ren et al (2023),LEWalleye20190904F008,46.8,1038,0,NA,NA,5,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,16.32097242,0.382896714,NA,0.191448357,0.717931338,0.949264769,0.366942684,0.510528951,0.32705761,NA
#50 Ren et al (2023),LEWalleye20190904F009,44.6,825,0,NA,NA,4,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,1,1,10/9/19,Summer,2019,26.51152043,0.386901127,NA,0.606731313,1.275015079,1.450879227,0.518799239,0.817768292,0.404487542,NA
#50 Ren et al (2023),LEWalleye20190904F010LD_avg,42.9,775,0,NA,NA,4,-21.7,15.3,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Walleye,Walleye,Quaternary Consumer,Whole fish homogenate,Whole organism homogenate,No,2,1,10/9/19,Summer,2019,13.37553372,0.238062479,NA,0.135243218,0.569790349,0.658520909,0.282785655,0.403479044,0.271560124,NA
#50 Ren et al (2023),LEWhitePerch20190424001,8.475,7.2775,NA,NA,NA,NA,-23.5,14.7,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,4,10/23/19,Summer,2019,26.2286845,0.314295221,NA,0.501375709,1.683724397,1.668757958,0.404093855,0.32177844,0.089798635,NA
#50 Ren et al (2023),LEWhitePerch20190424001_YOY,7.582608696,5.44826087,NA,Juvenile (YOY),Juvenile/Immature,NA,-23.2,13.7,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,23,10/28/19,Summer,2019,19.68583428,0.236230011,NA,0.42521402,1.299265062,1.362259732,0.385842352,0.354345017,0.069596667,NA
#50 Ren et al (2023),LEWhitePerch20190424002,7.96,6.362,NA,NA,NA,NA,-23.5,14.7,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,5,10/23/19,Summer,2019,27.173595,0.41913,NA,0.729596667,1.917131667,1.567856667,0.60541,0.403606667,0.147471667,NA
#50 Ren et al (2023),LEWhitePerch20190424002_YOY,7.516666667,5.4975,NA,Juvenile (YOY),Juvenile/Immature,NA,-23.2,13.7,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,24,10/28/19,Summer,2019,14.84421494,0.179476654,NA,0.366431502,1.084338119,0.889905077,0.396344278,0.276693175,0.089738327,NA
#50 Ren et al (2023),LEWhitePerch20190424003,7.96,6.058,NA,NA,NA,NA,-23.5,14.7,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,5,10/23/19,Summer,2019,20.45675184,0.239961898,NA,0.419933322,1.372282107,1.267298776,0.382439276,0.314949992,0.064355298,NA
#50 Ren et al (2023),LEWhitePerch20190424003_YOY,7.216666667,4.935833333,NA,Juvenile (YOY),Juvenile/Immature,NA,-23.2,13.7,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,24,10/28/19,Summer,2019,14.28550632,0.232834225,NA,0.36051751,1.081552529,1.179192688,0.315452821,0.307942039,0.05519603,NA
#50 Ren et al (2023),LEWhitePerch20190904001LD_avg,8.21,7.282,NA,NA,NA,NA,-21.7,14.4,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,2,10,9/24/19,Summer,2019,54.44618934,0.32889716,NA,0.916189117,2.008729031,1.014887156,0.603110971,0.485644989,0.18403257,NA
#50 Ren et al (2023),LEWhitePerch20190904002,8.16,7.26,NA,NA,NA,NA,-21.7,14.4,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,10,9/24/19,Summer,2019,56.69358284,0.296188845,NA,1.032863666,1.959403131,0.812620678,0.470864318,0.440485975,0.14429713,NA
#50 Ren et al (2023),LEWhitePerch20190904003,7.727272727,6.207272727,NA,NA,NA,NA,-21.7,14.4,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,White perch,White perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,11,9/24/19,Summer,2019,54.74584838,0.310453635,NA,0.885928667,2.00659057,0.976793145,0.499754633,0.492182593,0.151440798,NA
#50 Ren et al (2023),LEYellowPerch20190424001_YOY,7.164864865,2.985945946,NA,Juvenile (YOY),Juvenile/Immature,NA,-23.3,14.4,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,37,10/28/19,Summer,2019,7.229911257,0.069507574,NA,0.315620491,0.609220949,0.682621063,0.132120206,0.20552032,0.10276016,NA
#50 Ren et al (2023),LEYellowPerch20190424002_YOY,6.740540541,2.814324324,NA,Juvenile (YOY),Juvenile/Immature,NA,-23.3,14.4,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,37,10/28/19,Summer,2019,9.220829187,0.11721393,NA,0.359456053,0.750169154,0.976782753,0.171913765,0.312570481,0.11721393,NA
#50 Ren et al (2023),LEYellowPerch20190424003_YOY,6.702702703,2.862972973,NA,Juvenile (YOY),Juvenile/Immature,NA,-23.3,14.4,Lake Erie,174.84,Lake,NA,"Dunkirk, NY (P532)",42.4755556,-79.73972222,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,37,10/28/19,Summer,2019,7.667021795,0.153801841,NA,0.330673959,0.684418194,0.907430864,0.130731565,0.269153223,0.052751198,NA
#50 Ren et al (2023),LEYellowPerch20190904001,8.03,5.541,NA,NA,NA,NA,-21.6,14.4,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,10,9/24/19,Summer,2019,85.90581664,0.509212954,NA,2.458543794,2.538108318,1.280988838,0.731993621,0.564908121,0.318258096,NA
#50 Ren et al (2023),LEYellowPerch20190904002,7.93,5.755,NA,NA,NA,NA,-21.6,14.4,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,10,9/24/19,Summer,2019,81.20365651,0.582434682,NA,2.115157531,2.322075115,1.502068391,0.620752754,0.528789383,0.291217341,NA
#50 Ren et al (2023),LEYellowPerch20190904003,7.84,5.432,NA,NA,NA,NA,-21.6,14.4,Lake Erie,174.84,Lake,NA,"Middle Bass Island, OH (P512)",41.5830556,-82.91638889,NA,NA,Pisces,Yellow perch,Yellow perch,Tertiary Consumer,Composite whole fish homogenate,Whole organism homogenate,Yes,1,10,9/24/19,Summer,2019,69.91235122,0.41724878,NA,2.047609756,2.078517073,1.074029268,0.502243902,0.502243902,0.285892683,NA
#53 Hebert et al (2022),#53HEB HG 1,NA,NA,NA,NA,NA,NA,NA,NA,Lake Superior,183.63,Lake,NA,"Gull Rock, Pukaskwa National Park",48.58678541,-86.31187234,NA,NA,Aves,Herring gull,Herring gull,Piscivorous/Insectivorous Bird,Composite eggs,Eggs,Yes,15,15,5/15/18,Summer,2018,64.31,0.55,NA,11.58,9.22,16.37,4.81,13.9,2.55,NA
#56 Hopkins et al (2023),#56HOP TSEGG REF,NA,NA,NA,NA,NA,NA,-29.3,8.9,Lake Ontario,75.27,Lake,NA,Mountsberg Conservation Area (Reference) ,43.4601667,-80.04208333,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite eggs,Eggs,Yes,10,10,5/31/19,Summer,2019,10.7,0.39,0.05,1.33,0.91,1.29,0.83,0.84,0.7,NA
#56 Hopkins et al (2023),#56HOP TSEGG WWTP,NA,NA,NA,NA,NA,NA,-23.9,14.4,Lake Ontario,75.27,Lake,NA,Windermere Basin South (WWTP),43.2634167,-79.77472222,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite eggs,Eggs,Yes,10,10,5/31/19,Summer,2019,42.33,2.3,0.17,2.2,3.54,2.28,1.76,1.49,1.4,NA
#56 Hopkins et al (2023),#56HOP TSLIV REF,NA,21.6,0.55,Nestling,Juvenile/Immature,0.0273973,-28.2,9,Lake Ontario,75.27,Lake,NA,Mountsberg Conservation Area (Reference) ,43.4601667,-80.04208333,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite liver,Liver,Yes,20,20,5/31/19,Summer,2019,9,0.2,0.02,1.67,0.73,0.82,0.16,0.29,0.23,NA
#56 Hopkins et al (2023),#56HOP TSLIV WWTP,NA,20.8,0.35,Nestling,Juvenile/Immature,0.0273973,-23.9,14.6,Lake Ontario,75.27,Lake,NA,Windermere Basin South (WWTP),43.2634167,-79.77472222,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite liver,Liver,Yes,20,20,5/31/19,Summer,2019,12.84,0.69,0.04,0.52,1.01,0.56,0.32,0.21,0.31,NA
#56 Hopkins et al (2023),#56HOP TSCAR REF,NA,21.6,0.55,Nestling,Juvenile/Immature,0.0273973,-28.2,9,Lake Ontario,75.27,Lake,NA,Mountsberg Conservation Area (Reference) ,43.4601667,-80.04208333,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite carcass,Misc. Tissue,Yes,20,20,5/31/19,Summer,2019,5.11,0.09,0.02,1.09,0.45,0.55,0.2,0.24,0.19,NA
#56 Hopkins et al (2023),#56HOP TSCAR WWTP,NA,20.8,0.35,Nestling,Juvenile/Immature,0.0273973,-23.9,14.6,Lake Ontario,75.27,Lake,NA,Windermere Basin South (WWTP),43.2634167,-79.77472222,NA,NA,Aves,Tree swallow,Tree swallow,Piscivorous/Insectivorous Bird,Composite carcass,Misc. Tissue,Yes,20,20,5/31/19,Summer,2019,7.7,0.55,0.05,0.43,0.66,0.43,0.31,0.22,0.22,NA
#57 Coy et al (2022),CM_BLG1,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Clark's Marsh,44.43785481,-83.38988125,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Liver,Liver,No,1,1,8/15/19,Summer,2019,9400,1.99199297,NA,0.556940163,1.591409513,1.125168472,0.46808786,2.140587551,0.556914246,NA
#57 Coy et al (2022),CM_BLG2,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Clark's Marsh,44.43785481,-83.38988125,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Liver,Liver,No,1,1,8/15/19,Summer,2019,11500,0.778955653,NA,0.442240432,2.27,2.13,0.559366517,0.710663363,0.257828418,NA
#57 Coy et al (2022),CM_BLG3,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Clark's Marsh,44.43785481,-83.38988125,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Composite liver,Liver,Yes,1,NA,8/15/19,Summer,2019,8650,0.205790008,NA,0.308036004,1.82,1.23,0.222989032,0.360439869,0.183405988,NA
#57 Coy et al (2022),CM_BLG4,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Clark's Marsh,44.43785481,-83.38988125,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Composite liver,Liver,Yes,1,NA,8/15/19,Summer,2019,13600,0.362509767,NA,0.155336823,2.34,1.4,0.717,0.318507309,0.269111279,NA
#57 Coy et al (2022),CM_BLG5,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Clark's Marsh,44.43785481,-83.38988125,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Liver,Liver,No,1,1,8/15/19,Summer,2019,7650,0.325767434,NA,0.481172659,1.57,1.23,0.295771189,0.728859623,0.132316269,NA
#57 Coy et al (2022),PL_BLG1,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Pickerel Lake,45.390555,-84.754775,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Composite liver,Liver,Yes,1,NA,8/15/19,Summer,2019,109,0.623940527,NA,0.928876882,1.001497907,3.37,1.87,0.88448501,0.525105101,NA
#57 Coy et al (2022),PL_BLG2,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Pickerel Lake,45.390555,-84.754775,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Composite liver,Liver,Yes,1,NA,8/15/19,Summer,2019,108,0.199383214,NA,0.356393703,0.896,1.77,1.18,0.42276494,0.563483331,NA
#57 Coy et al (2022),PL_BLG3,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Pickerel Lake,45.390555,-84.754775,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Composite liver,Liver,Yes,1,NA,8/15/19,Summer,2019,47.7,0.57091164,NA,0.303010521,1.06,2.16,1.29,0.320856853,0.37172254,NA
#57 Coy et al (2022),SL_BLG1,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,177.14,Inland waters,NA,Susan Lake,45.329179,-85.179604,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Composite liver,Liver,Yes,1,NA,8/15/19,Summer,2019,50,0.287720467,NA,0.460797168,0.65731165,2.25,0.621507429,0.590539001,0.46853092,NA
#57 Coy et al (2022),SL_BLG2,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Michigan,177.14,Inland waters,NA,Susan Lake,45.329179,-85.179604,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Composite liver,Liver,Yes,1,NA,8/15/19,Summer,2019,84.7,0.472015212,NA,0.307415257,0.654,1.79,0.389366827,0.360780792,0.246220963,NA
#57 Coy et al (2022),ASR_BLG1,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Au Sable River,44.418956,-83.337097,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Liver,Liver,No,1,1,8/15/19,Summer,2019,2680,0.431332525,NA,0.436483768,1.3,1.87,0.36119675,0.317400938,0.205072658,NA
#57 Coy et al (2022),ASR_BLG2,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Au Sable River,44.4356,-83.43919,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Composite liver,Liver,Yes,1,NA,8/15/19,Summer,2019,1030,0.359751907,NA,0.264673539,0.430412247,0.925,0.982,0.414946625,0.229204807,NA
#57 Coy et al (2022),ASR_BLG3,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Au Sable River,44.4356,-83.43919,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Liver,Liver,No,1,1,8/15/19,Summer,2019,685,0.761101532,NA,0.517235543,1.302869667,0.740669512,0.539047699,0.508522976,0.491578999,NA
#57 Coy et al (2022),ASR_BLG4,14.9,NA,NA,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Au Sable River,44.4356,-83.43919,NA,NA,Pisces,Bluegill,Bluegill,Tertiary Consumer,Liver,Liver,No,1,1,8/15/19,Summer,2019,329,0.125400466,NA,0.157750235,1.07,1.79,2.39,0.665,0.127286242,NA
#57 Coy et al (2022),CM_AS1,2.65,NA,1,Adult (Non-reproductive),Adult (Non-reproductive),NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Clark's Marsh,44.43783,-83.38853,NA,NA,Astacoidea,Faxonius immunis,Crayfish,Secondary Consumer,Composite hepatopancreas,Misc. Tissue,Yes,1,2,7/27/19,Summer,2019,314,1.384998703,NA,2.62,0.843208614,0.841740616,0.49066953,0.487208409,0.50313645,NA
#57 Coy et al (2022),CM_AS2,2.5,NA,1,Adult (Reproductive),Adult (Reproductive),NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Clark's Marsh,44.43783,-83.38853,NA,NA,Astacoidea,Faxonius immunis,Crayfish,Secondary Consumer,Composite hepatopancreas,Misc. Tissue,Yes,1,2,7/30/19,Summer,2019,482,0.303765143,NA,1.45,0.500861684,0.586102207,0.327837299,0.31158552,0.282957254,NA
#57 Coy et al (2022),CM_AS3,2.333333333,NA,0,Adult (Reproductive),Adult (Reproductive),NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Clark's Marsh,44.43783,-83.38853,NA,NA,Astacoidea,Faxonius immunis,Crayfish,Secondary Consumer,Composite hepatopancreas,Misc. Tissue,Yes,1,3,7/27/19,Summer,2019,386,0.756670777,NA,4.23,0.613482422,0.600273771,0.378757585,0.337490459,0.360173412,NA
#57 Coy et al (2022),PL_AS1,2.75,NA,0,Adult (Non-reproductive),Adult (Non-reproductive),NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Pickerel Lake,45.38631,-84.75935,NA,NA,Astacoidea,Faxonius rusticus; Faxonius virilis,Crayfish,Secondary Consumer,Composite hepatopancreas,Misc. Tissue,Yes,1,2,8/6/19,Summer,2019,0.052605965,0.233487845,NA,0.332638413,0.404359121,0.523752035,2.38,0.285921911,0.529060762,NA
#57 Coy et al (2022),PL_AS2,2.7,NA,0,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Pickerel Lake,45.38631,-84.75935,NA,NA,Astacoidea,Faxonius rusticus,Crayfish,Secondary Consumer,Composite hepatopancreas,Misc. Tissue,Yes,1,2,8/6/19,Summer,2019,3.78,0.515369489,NA,1.54,2.44,0.499246817,5.64,1.55,0.421124773,NA
#57 Coy et al (2022),AU_AS1,3.4,NA,0,Adult (Non-reproductive),Adult (Non-reproductive),NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Au Sable River,44.43209,-83.39156,NA,NA,Astacoidea,Faxonius rusticus,Crayfish,Secondary Consumer,Composite hepatopancreas,Misc. Tissue,Yes,1,2,7/9/19,Summer,2019,11.2,0.363924084,NA,1.3,0.204146175,0.232335746,0.129804181,0.166429772,0.194346041,NA
#57 Coy et al (2022),AU_AS2,3.7,NA,0,NA,NA,NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Au Sable River,44.43209,-83.39156,NA,NA,Astacoidea,Faxonius rusticus,Crayfish,Secondary Consumer,Composite hepatopancreas,Misc. Tissue,Yes,1,2,7/18/19,Summer,2019,3.4,0.298821914,NA,0.39580139,0.330348058,0.140536692,0.275850713,0.263899589,0.309991226,NA
#57 Coy et al (2022),AU_AS3,3.4,NA,0,Adult (Reproductive),Adult (Reproductive),NA,NA,NA,Lake Huron,177.14,Inland waters,NA,Au Sable River,44.43209,-83.39156,NA,NA,Astacoidea,Faxonius rusticus,Crayfish,Secondary Consumer,Composite hepatopancreas,Misc. Tissue,Yes,1,2,7/23/19,Summer,2019,7.22,0.232544635,NA,0.20434643,0.568326871,2.17,0.452236266,0.324782983,0.396766721,NA
#58 De Solla et al (2012),#58DESOLLA 1,NA,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.87,Inland waters,NA,Lake Niapenco (E),43.10413072,-79.8276491,NA,NA,Reptilia,Snapping turtle,Snapping turtle,Apex Predator,Composite plasma,Blood,Yes,9,9,7/15/09,Summer,2009,2376.7,0.3,NA,0.6,4.3,3.6,0.1,0.7,0.078810635,NA
#58 De Solla et al (2012),#58DESOLLA 2,NA,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.87,Inland waters,NA,Lake Niapenco (W),43.10852555,-79.87583403,NA,NA,Reptilia,Snapping turtle,Snapping turtle,Apex Predator,Composite plasma,Blood,Yes,9,9,7/15/09,Summer,2009,2065.2,0.2,NA,0.1,2,1.6,0.065564745,0.1,0.062393097,NA
#58 De Solla et al (2012),#58DESOLLA 3,NA,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.87,Inland waters,NA,Upper Welland River,43.12598048,-79.91559359,NA,NA,Reptilia,Snapping turtle,Snapping turtle,Apex Predator,Plasma,Blood,No,1,1,7/15/09,Summer,2009,2269.4,0.3,NA,0.3,3.4,1.8,0.088497364,0.5,0.065084287,NA
#58 De Solla et al (2012),#58DESOLLA 4,NA,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.87,Inland waters,NA,Credit River,43.55615714,-79.61402575,NA,NA,Reptilia,Snapping turtle,Snapping turtle,Apex Predator,Composite plasma,Blood,Yes,10,10,7/15/09,Summer,2009,171.4,4.2,NA,0.3,2.7,2.6,2.4,1.4,0.6,NA
#58 De Solla et al (2012),#58DESOLLA 5,NA,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.87,Inland waters,NA,Cootes Paradise,43.26529164,-79.94146446,NA,NA,Reptilia,Snapping turtle,Snapping turtle,Apex Predator,Composite plasma,Blood,Yes,7,7,7/15/09,Summer,2009,53,2.2,NA,0.065712622,4.5,0.8,0.3,0.074267431,0.07418853,NA
#58 De Solla et al (2012),#58DESOLLA 6,NA,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.87,Inland waters,NA,Humber River,43.75027955,-79.57349928,NA,NA,Reptilia,Snapping turtle,Snapping turtle,Apex Predator,Composite plasma,Blood,Yes,7,7,7/15/09,Summer,2009,121.4,7.2,NA,0.2,2.3,2,2,0.7,0.4,NA
#58 De Solla et al (2012),#58DESOLLA 7,NA,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.87,Inland waters,NA,Island Lake,43.93620762,-80.08309802,NA,NA,Reptilia,Snapping turtle,Snapping turtle,Apex Predator,Composite plasma,Blood,Yes,4,4,7/15/09,Summer,2009,15.1,0.4,NA,0.072548676,1.2,1.3,0.086595835,0.082009558,0.063467333,NA
#58 De Solla et al (2012),#58DESOLLA 8,NA,NA,NA,NA,NA,NA,NA,NA,Lake Ontario,74.67,Inland waters,NA,Station 1,43.14844551,-79.94494811,NA,NA,"Shrimp, water fleas, and allies",Amphipods,Amphipods (principally Gammarus and Hyalella),Primary Consumer,Bulk composite,Whole organism homogenate,Yes,2,NA,10/15/10,Summer,2010,643.5,0.5,30.6,44.8,11.3,4.4,1.1,0.2,0.6,NA
